image,config,clickBudget,shapes,toolChanges,sizeChanges,colorChanges,alphaChanges,clicks,unsortedClicks,groupBoundaryChanges,rmse,ssim,deltaE00,genSeconds,paintMinutesAt30cps
texture,default,18000,14969,2996,464,2143,389,18000,37370,19,0.029336,0.68162,3.9998,18.4,10.00
texture,alphaFloor0,18000,13184,4782,731,3350,701,18000,38678,29,0.026115,0.69670,3.1606,19.0,10.00
texture,auto,18000,13184,4782,731,3350,701,18000,38678,29,0.026115,0.69670,3.1606,18.7,10.00
texture,sa,18000,15031,2933,457,2075,401,18000,37413,21,0.028788,0.68838,3.8885,23.6,10.00
glyphs,default,18000,13333,4633,1225,2315,1093,18000,40667,26,0.118506,0.76686,7.6392,46.5,10.00
glyphs,alphaFloor0,18000,11711,6257,1703,2822,1732,18000,37375,26,0.128954,0.73537,8.0076,59.1,10.00
glyphs,auto,18000,13333,4633,1225,2315,1093,18000,40667,26,0.118506,0.76686,7.6392,46.5,10.00
glyphs,sa,18000,13661,4305,1060,2219,1026,18000,41322,26,0.108558,0.79860,6.9653,61.6,10.00
portrait,default,18000,14086,3879,643,2747,489,18000,34574,27,0.013626,0.94847,2.3766,17.9,10.00
portrait,alphaFloor0,18000,12039,5928,1044,3929,955,18000,35920,25,0.010598,0.96058,1.6458,18.3,10.00
portrait,auto,18000,12039,5928,1044,3929,955,18000,35920,25,0.010598,0.96058,1.6458,17.6,10.00
portrait,sa,18000,14262,3703,573,2609,521,18000,34767,27,0.013417,0.95098,2.3174,23.6,10.00
skyline,default,18000,13550,4415,755,3043,617,17999,38632,27,0.020832,0.93466,2.7338,17.2,10.00
skyline,alphaFloor0,18000,11486,6479,1203,4047,1229,17997,37323,27,0.021435,0.93397,2.5349,21.7,10.00
skyline,auto,18000,13550,4415,755,3043,617,17999,38632,27,0.020832,0.93466,2.7338,17.8,10.00
skyline,sa,18000,13550,4416,776,2987,653,18000,38526,30,0.020400,0.93588,2.6488,24.3,10.00
mosaic,default,18000,10851,7118,997,5179,942,18000,34080,21,0.048350,0.75323,4.5795,16.7,10.00
mosaic,alphaFloor0,18000,9004,8965,1561,5864,1540,17999,30763,23,0.054266,0.73307,4.5092,27.7,10.00
mosaic,auto,18000,10851,7118,997,5179,942,18000,34080,21,0.048350,0.75323,4.5795,16.7,10.00
mosaic,sa,18000,11065,6903,934,5058,911,18000,34240,25,0.047098,0.75743,4.4669,23.8,10.00
