image,config,clickBudget,shapes,toolChanges,sizeChanges,colorChanges,alphaChanges,clicks,unsortedClicks,groupBoundaryChanges,rmse,ssim,deltaE00,genSeconds,paintMinutesAt30cps
texture,default,18000,15000,2964,480,2084,400,17999,37820,23,0.029363,0.67488,3.9304,36.1,10.00
texture,default,3000,1923,1055,220,671,164,3000,5750,1,0.036496,0.54576,4.7332,0.0,1.67
texture,default,6000,4314,1660,309,1104,247,5999,12404,7,0.033489,0.58794,4.3933,0.0,3.33
texture,default,9000,6896,2077,368,1418,291,9000,19209,10,0.031865,0.61869,4.2024,0.0,5.00
texture,default,12000,9540,2430,415,1679,336,12000,25599,15,0.030761,0.64229,4.0796,0.0,6.67
texture,default,15000,12241,2726,451,1905,370,15000,31776,20,0.029971,0.66046,3.9930,0.0,8.33
texture,prune,18000,15054,2896,470,2056,370,17986,37729,28,0.029182,0.67655,3.9118,5.7,9.99
texture,noAdaptive,18000,14969,2996,464,2143,389,18000,37370,19,0.029336,0.68162,3.9998,17.1,10.00
texture,noErrGuided,18000,15018,2946,467,2093,386,18000,37953,27,0.029361,0.67694,3.9535,35.8,10.00
texture,singleAlpha,18000,16490,1473,321,1152,0,18000,31554,19,0.042354,0.64013,6.2623,45.5,10.00
texture,opaque,18000,15034,2930,2226,704,0,18000,30961,16,0.071360,0.53320,8.3858,35.5,10.00
texture,alphaFloor0,18000,13319,4647,754,3248,645,18000,39131,27,0.026205,0.69065,3.1532,32.3,10.00
texture,fastGen,18000,14827,3138,541,2169,428,18000,38048,25,0.030266,0.66082,4.0757,18.9,10.00
texture,hiStates,18000,14987,2978,479,2117,382,18000,37664,28,0.029292,0.67746,3.9517,39.8,10.00
texture,sa,18000,14969,2996,490,2082,424,18000,37626,23,0.028922,0.68491,3.9160,58.9,10.00
texture,exactRank,18000,15043,2921,463,2041,417,18000,37892,26,0.029270,0.67708,3.9492,78.0,10.00
texture,alphaFloor2,18000,15843,2121,460,1200,461,18000,36800,20,0.041434,0.62672,5.9336,36.9,10.00
texture,seedB,18000,14974,2991,494,2084,413,18000,37875,20,0.029359,0.67542,3.9684,33.7,10.00
glyphs,default,18000,13852,4114,1015,2123,976,18000,42015,27,0.117364,0.76934,7.5893,50.7,10.00
glyphs,default,3000,1873,1104,291,516,297,2999,5966,2,0.184335,0.44683,12.6114,0.0,1.67
glyphs,default,6000,4123,1850,477,892,481,5998,12929,10,0.161994,0.56361,10.8539,0.0,3.33
glyphs,default,9000,6505,2467,618,1213,636,8999,20132,14,0.146896,0.63822,9.7501,0.0,5.00
glyphs,default,12000,8939,3031,752,1525,754,11999,27396,17,0.135556,0.69400,8.9143,0.0,6.67
glyphs,default,15000,11361,3607,893,1843,871,15000,34670,26,0.125795,0.73637,8.1957,0.0,8.33
glyphs,prune,18000,13852,4001,951,2109,941,17887,42002,27,0.115947,0.77075,7.5255,2.7,9.94
glyphs,noAdaptive,18000,13333,4633,1225,2315,1093,18000,40667,26,0.118506,0.76686,7.6392,45.7,10.00
